repo_name,count
tony-hong/roleo,1
satojkovic/DeepLogo,1
daler/metaseq,1
MaxPoint/cyavro,1
Kaggle/docker-python,1
benhamner/ExpediaPersonalizedSortCompetition,1
rainyear/ImageColorTheme,1
jayanthkoushik/sgd-feedback,1
freedomljc/Loan_Default_Prediction,1
shaform/experiments,1
numenta/nupic,1
HazyResearch/snorkel,1
casmlab/purpletag,1
dssg/ushine-learning,1
Sentimentron/Dracula,1
tlackemann/hubert,1
bbci/wyrm,1
shamidreza/deepcca,1
hammerlab/pepdata,1
statsmaths/stat665,1
Ardavans/DSR,1
DiceTechJobs/ConceptualSearch,1
rdkit/rdkit,1
shagunsodhani/powerlaw,1
zhenxuan00/mmdgm,1
louisdorard/papiseval,1
kYroL01/ConvNet,1
linnarsson-lab/BackSPIN,1
dpkingma/nips14-ssl,1
dikien/break-captcha,1
mkliegl/kaggle-Facebook-V,1
SMAPPNYU/smappPy,1
drivendata/data-science-is-software,1
jaberg/hyperopt,1
EducationalTestingService/discourse-parsing,1
gaborfodor/MLSP_2013,1
bmabey/pyLDAvis,1
opencog/opencog,1
wei-tan/CuMF,1
rbgirshick/fast-rcnn,1
PDFangeltop1/cs224d,1
lordi/tickmate,1
biokit/biokit,1
bt3gl/Advanced-Machine-Learning,1
MicrosoftGenomics/PySnpTools,1
nomad-vagabond/asterion,1
hunterowens/data-pipelines,1
danielfrg/word2vec,1
IndicoDataSolutions/Passage,1
zygmuntz/kaggle-avito,1
hyperopt/hyperopt-nnet,1
clusterlib/clusterlib,1
ucsd-ccbb/jupyter-genomics,1
tracek/Ornithokrites,1
ahara/blog,1
albahnsen/ML_SecurityInformatics,1
zygmuntz/pybrain-practice,1
siddBanPsu/AbTextSumm,1
zeyuanxy/fast-rcnn,1
awentzonline/keras-rtst,1
BinRoot/TensorFlow-Book,1
mp2893/retain,1
mirri66/xgbmagic,1
Glavin001/IssueBot,1
pgmpy/pgmpy_notebook,1
OMNILab/CCFBDC2014,1
garydoranjr/misvm,1
unias/docklet,1
ogrisel/spylearn,1
jakevdp/mpld3,1
h10r/topic_comparison_tool,1
alexsavio/hansel,1
largelymfs/paragraph2vec,1
probcomp/bayeslite,1
japerk/nltk-trainer,1
jasonwbw/DensityPeakCluster,1
phanein/deepwalk,1
yutiansut/QUANTAXIS,1
duecredit/duecredit,1
bbengfort/hadoop-fundamentals,1
yaxinus/santander-product-recommendation-8th-place,1
golismero/golismero,1
hamuchiwa/AutoRCCar,1
proycon/pynlpl,1
tanyaschlusser/office-nfl-pool,1
alpha-beta-soup/errorgeopy,1
mlukasik/rumour-classification,1
mraad/dbscan-spark,1
jasonbaldridge/try-tf,1
tinghuiz/learn-reflectance,1
hcook/gmm,1
QuantConnect/Lean,1
