repo_name,count
cuauv/software,5
RamaneekGill/Twitter-Sentiment-Analysis,5
marcotcr/lime,5
Bihaqo/exp-machines,5
glm-tools/pyglmnet,5
mitdbg/asciiclass,5
chengsoonong/digbeta,5
aatapa/RLScore,5
janelia-flyem/gala,5
ilblackdragon/tf_examples,5
jakevdp/sklearn_pydata2015,5
gpersistence/tstop,5
bizreach/common-ml,5
DartML/SteinGAN,5
ziyan/spider,5
jakevdp/sklearn_pycon2015,5
KnHuq/Dynamic-Tensorflow-Tutorial,5
shanzhenren/ClusType,5
amarack/python-rl,5
jakevdp/wpca,5
KnHuq/Dynamic_RNN_Tensorflow,5
GHFC/stratipy,5
scot-dev/scot,5
frnsys/broca,5
pycroscopy/pycroscopy,5
antlr/codebuff,5
tks0123456789/kaggle-Walmart_Trip_Type,5
dchad/malware-detection,5
ofirnachum/uncertainty_gbm,5
OHDSI/PatientLevelPrediction,5
alex-bauer/kelvin-power-challenge,5
cmry/omesa,5
classner/barrista,5
bzshang/yelp-photo-classification,5
JonasWallin/BayesFlow,5
perrygeo/pyimpute,5
sightmachine/SimpleCV,5
jakevdp/sklearn_tutorial,5
titu1994/Neural-Style-Transfer,5
zygmuntz/classifying-text,5
MLWave/kepler-mapper,5
thomasantony/CarND-Projects,5
MicrosoftResearch/Azimuth,5
carefree0910/MachineLearning,5
jamesrobertlloyd/automl-phase-1,5
dougalsutherland/py-sdm,5
RK900/Flu-Prediction,5
rbaravalle/imfractal,5
cmaclell/concept_formation,5
tmadl/semisup-learn,5
colinmorris/char-rbm,5
dnc1994/Kaggle-Playground,5
nilmtk/nilmtk,5
deroneriksson/systemml,4
INGEOTEC/b4msa,4
classner/fertilized-forests,4
sdpython/ensae_teaching_cs,4
HealthCatalystSLC/healthcareai-py,4
Pinafore/qb,4
bsmurphy/PyKrige,4
imatge-upc/detection-2016-nipsws,4
davidsandberg/facenet,4
fmfn/BayesianOptimization,4
MichaelHills/seizure-prediction,4
yuyuz/FLASH,4
ssundarraj/music_genre_classifier,4
claesenm/optunity,4
jeffheaton/aifh,4
sato9hara/defragTrees,4
iitml/AL,4
czhuang/ChordRipple,4
alvarouc/polyssifier,4
