path,repo_name,count
examples/ensemble/plot_gradient_boosting_oob.py,amueller/scikit-learn,1
examples/neighbors/plot_lof.py,amueller/scikit-learn,1
examples/neural_networks/plot_mnist_filters.py,amueller/scikit-learn,1
sklearn/metrics/setup.py,amueller/scikit-learn,1
sklearn/tests/test_metaestimators.py,amueller/scikit-learn,1
sklearn/utils/sparsefuncs.py,amueller/scikit-learn,1
solutions/load_iris.py,amueller/astro_hackweek,1
pystruct/tests/test_learners/test_latent_node_crf_learning.py,amueller/pystruct,1
plots/plot_2d_separator.py,amueller/sklearn_workshop,1
benchmarks/bench_glmnet.py,amueller/scikit-learn,1
doc/sphinxext/numpy_ext/__init__.py,amueller/scikit-learn,1
examples/calibration/plot_calibration.py,amueller/scikit-learn,1
sklearn/utils/tests/test_extmath.py,amueller/scikit-learn,1
examples/linear_model/plot_lasso_and_elasticnet.py,amueller/scikit-learn,1
examples/neural_networks/plot_mlp_alpha.py,amueller/scikit-learn,1
sklearn/cluster/tests/test_hierarchical.py,amueller/scikit-learn,1
sklearn/datasets/tests/__init__.py,amueller/scikit-learn,1
sklearn/decomposition/tests/test_nmf.py,amueller/scikit-learn,1
sklearn/feature_extraction/image.py,amueller/scikit-learn,1
sklearn/neighbors/kde.py,amueller/scikit-learn,1
docsrc/wikidoc.py,amueller/vlfeat,1
solutions/train_iris.py,amueller/astro_hackweek,1
plots/plot_rbf_svm_parameters.py,amueller/nyu_ml_lectures,1
pystruct/tests/__init__.py,amueller/pystruct,1
pystruct/utils/inference.py,amueller/pystruct,1
mglearn/plot_helpers.py,amueller/advanced_training,1
examples/masked.py,amueller/word_cloud,1
solutions/svms.py,amueller/sklearn_workshop,1
sklearn/neighbors/tests/test_ball_tree.py,amueller/scikit-learn,1
python/vlfeat/test/vl_test_hikmeans.py,amueller/vlfeat,1
solutions/text_pipeline.py,amueller/astro_hackweek,1
solutions/grid_search_forest.py,amueller/nyu_ml_lectures,1
examples/colored_by_group.py,amueller/word_cloud,1
examples/linear_model/plot_sparse_recovery.py,amueller/scikit-learn,1
examples/mixture/plot_gmm_covariances.py,amueller/scikit-learn,1
sklearn/cluster/birch.py,amueller/scikit-learn,1
sklearn/cross_decomposition/__init__.py,amueller/scikit-learn,1
sklearn/datasets/tests/test_base.py,amueller/scikit-learn,1
sklearn/decomposition/nmf.py,amueller/scikit-learn,1
sklearn/decomposition/pca.py,amueller/scikit-learn,1
sklearn/decomposition/truncated_svd.py,amueller/scikit-learn,1
sklearn/externals/joblib/func_inspect.py,amueller/scikit-learn,1
sklearn/feature_selection/mutual_info_.py,amueller/scikit-learn,1
sklearn/gaussian_process/__init__.py,amueller/scikit-learn,1
python/vlfeat/demo/vl_demo_sift_edge.py,amueller/vlfeat,1
sklearn/neural_network/tests/__init__.py,amueller/scikit-learn,1
sklearn/tests/test_init.py,amueller/scikit-learn,1
sklearn/utils/tests/test_linear_assignment.py,amueller/scikit-learn,1
plots/plot_kneighbors_regularization.py,amueller/nyu_ml_lectures,1
benchmarks/multi_label_tree.py,amueller/pystruct,1
doc/tutorial/text_analytics/skeletons/exercise_01_language_train_model.py,amueller/scikit-learn,1
examples/ensemble/plot_forest_importances.py,amueller/scikit-learn,1
examples/ensemble/plot_isolation_forest.py,amueller/scikit-learn,1
examples/feature_selection/plot_permutation_test_for_classification.py,amueller/scikit-learn,1
examples/model_selection/plot_train_error_vs_test_error.py,amueller/scikit-learn,1
examples/neural_networks/plot_mlp_training_curves.py,amueller/scikit-learn,1
sklearn/calibration.py,amueller/scikit-learn,1
sklearn/cluster/tests/test_k_means.py,amueller/scikit-learn,1
sklearn/datasets/rcv1.py,amueller/scikit-learn,1
sklearn/externals/__init__.py,amueller/scikit-learn,1
doc/sphinxext/sphinx_gallery/notebook.py,amueller/scikit-learn,1
sklearn/externals/joblib/numpy_pickle.py,amueller/scikit-learn,1
sklearn/feature_extraction/__init__.py,amueller/scikit-learn,1
sklearn/kernel_ridge.py,amueller/scikit-learn,1
sklearn/utils/graph.py,amueller/scikit-learn,1
sklearn/utils/tests/test_fixes.py,amueller/scikit-learn,1
notebooks/solutions/08A_digits_projection.py,amueller/scipy_2015_sklearn_tutorial,1
server.py,amueller/wordcloud_server,1
solutions/forests.py,amueller/nyu_ml_lectures,1
benchmarks/random_tree_crf.py,amueller/pystruct,1
examples/plot_binary_svm.py,amueller/pystruct,1
pystruct/tests/test_utils/__init__.py,amueller/pystruct,1
mglearn/plot_rbf_svm_parameters.py,amueller/advanced_training,1
solutions/linear_models.py,amueller/advanced_training,1
