line,path,repo_name
from sklearn import metrics,tensorflow/examples/learn/iris_custom_decay_dnn.py,JingJunYin/tensorflow
from sklearn import metrics,tensorflow/examples/skflow/hdf5_classification.py,marmarko/ml101
from sklearn import metrics,examples/cluster/plot_kmeans_digits.py,smartscheduling/scikit-learn-categorical-tree
from sklearn import metrics,code/visualizations/cohort_log.py,dssg/education-college-public
from sklearn import metrics,src/test_model.py,tombosc/mwer
from sklearn import metrics,tensorflow/examples/learn/text_classification_cnn.py,gibiansky/tensorflow
from sklearn import metrics,FinalProject/first_draft.py,NZubia/DataMiningUACH
from sklearn import metrics,tensorflow/examples/learn/hdf5_classification.py,benoitsteiner/tensorflow-xsmm
from sklearn import metrics,tensorflow/examples/skflow/text_classification_builtin_rnn_model.py,rew4332/tensorflow
from sklearn import metrics,tensorflow/examples/learn/hdf5_classification.py,gnieboer/tensorflow
from sklearn import metrics,tensorflow/examples/learn/text_classification_character_rnn.py,yaroslavvb/tensorflow
from sklearn import metrics,runs/2016/dnn2016large/src/evaluation.py,rohit21122012/DCASE2013
from sklearn import metrics,python/sklearn_vw.py,KaiWeiChang/vowpal_wabbit
from sklearn import metrics,tensorflow/examples/learn/mnist.py,guschmue/tensorflow
from sklearn import metrics,tensorflow/examples/learn/iris_custom_model.py,kchodorow/tensorflow
from sklearn import metrics,tensorflow/examples/learn/boston.py,jendap/tensorflow
from sklearn import metrics,tensorflow/examples/learn/boston.py,MycChiu/tensorflow
from sklearn import metrics,tensorflow/examples/learn/multiple_gpu.py,guschmue/tensorflow
from sklearn import metrics,_module45/CCCPC_16_32.py,KennyCandy/HAR
from sklearn import metrics,Cross_Validation.py,LorenzoNorcini/Learning_Curves
from sklearn import metrics,Dataset/create/cluster_live.py,avroshk/7100_Spring_16
from sklearn import metrics,Archive/[14_10_10] DDEA sample code/df_data_analysis_ver6.py,TinyOS-Camp/DDEA-DEV
from sklearn import metrics,ch08/averaged.py,Adai0808/BuildingMachineLearningSystemsWithPython
from sklearn import metrics,Sample_Run/Seq_LSTM/Eval_Calculate_Performance.py,yashchandak/GNN
